<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.26	15:00:00	1995.76	1996.86	1994.49	1995.81	2860	0	6
2023.04.26	15:15:00	1995.80	1998.59	1994.98	1998.16	2536	0	7
2023.04.26	15:30:00	1998.17	2000.28	1993.86	1996.83	4098	0	5
2023.04.26	15:45:00	1996.87	1998.31	1996.11	1997.93	2358	0	7
2023.04.26	16:00:00	1997.95	2000.64	1997.55	1999.69	3157	0	7
2023.04.26	16:15:00	1999.81	2009.43	1999.15	2008.13	4887	0	5
2023.04.26	16:30:00	2008.13	2008.54	2001.95	2003.20	5431	0	4
2023.04.26	16:45:00	2003.20	2006.37	2002.57	2003.14	4483	0	6
2023.04.26	17:00:00	2003.10	2004.12	1998.19	2001.07	4246	0	7
2023.04.26	17:15:00	2001.07	2003.13	1997.56	2002.80	3875	0	6
2023.04.26	17:30:00	2002.82	2004.14	1998.95	1999.25	3507	0	7
2023.04.26	17:45:00	1999.26	2001.40	1997.52	1998.48	3338	0	7
2023.04.26	18:00:00	1998.52	1999.57	1994.80	1995.03	3619	0	7
2023.04.26	18:15:00	1995.03	1996.67	1993.62	1995.42	3427	0	7
2023.04.26	18:30:00	1995.41	1997.16	1994.70	1996.99	2602	0	7
2023.04.26	18:45:00	1996.99	1997.31	1991.41	1991.42	2653	0	7
2023.04.26	19:00:00	1991.43	1992.51	1988.68	1990.15	3426	0	5
2023.04.26	19:15:00	1990.18	1990.42	1985.45	1986.18	3281	0	6
2023.04.26	19:30:00	1986.25	1988.69	1985.68	1986.66	2611	0	7
2023.04.26	19:45:00	1986.67	1987.46	1985.53	1986.67	2513	0	7
2023.04.26	20:00:00	1986.62	1988.24	1986.20	1987.06	2093	0	7
2023.04.26	20:15:00	1987.05	1987.37	1984.71	1986.00	2039	0	6
2023.04.26	20:30:00	1986.00	1986.89	1983.37	1985.84	2114	0	7
2023.04.26	20:45:00	1985.86	1988.71	1985.82	1988.31	1724	0	7
2023.04.26	21:00:00	1988.33	1989.06	1986.16	1986.18	1581	0	7
2023.04.26	21:15:00	1986.13	1986.73	1985.18	1986.01	1541	0	7
2023.04.26	21:30:00	1986.01	1987.80	1984.51	1985.98	2228	0	7
2023.04.26	21:45:00	1985.99	1991.00	1985.86	1990.33	1904	0	7
2023.04.26	22:00:00	1990.31	1991.66	1988.90	1989.06	1785	0	7
2023.04.26	22:15:00	1989.03	1991.23	1988.61	1990.01	1564	0	7
2023.04.26	22:30:00	1990.04	1990.96	1987.96	1988.17	1524	0	7
2023.04.26	22:45:00	1988.15	1988.30	1987.03	1988.11	1452	0	7
2023.04.26	23:00:00	1988.08	1988.87	1987.19	1988.87	901	0	13
2023.04.26	23:15:00	1988.87	1989.66	1988.77	1989.40	535	0	12
2023.04.26	23:30:00	1989.40	1989.40	1988.67	1988.87	612	0	12
2023.04.26	23:45:00	1988.85	1989.34	1988.53	1989.29	446	0	13
2023.04.27	01:00:00	1989.84	1990.22	1989.30	1990.17	408	0	0
2023.04.27	01:15:00	1990.16	1990.71	1989.81	1990.36	483	0	12
2023.04.27	01:30:00	1990.36	1990.37	1989.01	1989.68	523	0	11
2023.04.27	01:45:00	1989.67	1990.37	1989.08	1990.17	551	0	7
2023.04.27	02:00:00	1990.19	1991.40	1989.98	1991.22	535	0	11
2023.04.27	02:15:00	1991.22	1991.59	1990.98	1991.20	332	0	11
2023.04.27	02:30:00	1991.21	1991.60	1991.03	1991.41	305	0	10
2023.04.27	02:45:00	1991.41	1991.85	1991.27	1991.64	350	0	11
2023.04.27	03:00:00	1991.61	1992.21	1990.86	1991.08	1049	0	6
2023.04.27	03:15:00	1991.08	1991.69	1989.78	1990.68	937	0	5
2023.04.27	03:30:00	1990.66	1991.69	1990.46	1991.28	958	0	8
2023.04.27	03:45:00	1991.28	1991.79	1990.57	1991.54	1018	0	8
2023.04.27	04:00:00	1991.57	1991.67	1989.69	1989.81	1814	0	5
2023.04.27	04:15:00	1989.80	1991.90	1989.53	1991.19	1361	0	7
2023.04.27	04:30:00	1991.19	1995.03	1991.09	1993.18	1672	0	7
2023.04.27	04:45:00	1993.20	1993.54	1991.81	1992.66	1345	0	6
2023.04.27	05:00:00	1992.67	1996.09	1992.06	1996.03	1555	0	8
2023.04.27	05:15:00	1996.05	1997.65	1995.57	1996.15	1220	0	5
2023.04.27	05:30:00	1996.15	1998.99	1995.31	1998.13	2058	0	6
2023.04.27	05:45:00	1998.10	1998.93	1997.74	1998.73	1472	0	8
2023.04.27	06:00:00	1998.73	2000.90	1998.47	1999.29	1617	0	3
2023.04.27	06:15:00	1999.40	2000.15	1998.42	1999.42	1262	0	5
2023.04.27	06:30:00	1999.42	2000.51	1998.89	1999.57	1028	0	6
2023.04.27	06:45:00	1999.57	2000.19	1999.01	1999.78	634	0	6
2023.04.27	07:00:00	1999.79	2000.65	1998.76	1998.84	848	0	6
2023.04.27	07:15:00	1998.85	1999.86	1997.75	1998.66	921	0	5
2023.04.27	07:30:00	1998.66	1999.56	1998.14	1999.35	551	0	7
2023.04.27	07:45:00	1999.31	2000.04	1998.84	1999.64	701	0	6
2023.04.27	08:00:00	1999.64	2002.74	1999.54	2002.00	924	0	8
2023.04.27	08:15:00	2001.96	2001.97	1997.65	1999.53	1294	0	7
2023.04.27	08:30:00	1999.53	2001.42	1999.27	2000.98	1990	0	7
2023.04.27	08:45:00	2000.98	2001.11	1998.60	1999.01	2153	0	7
2023.04.27	09:00:00	1999.01	1999.74	1997.37	1998.83	1794	0	6
2023.04.27	09:15:00	1998.82	2002.21	1998.43	2000.56	2024	0	7
2023.04.27	09:30:00	2000.56	2001.94	1999.55	2001.88	1829	0	6
2023.04.27	09:45:00	2001.89	2003.23	2001.07	2002.06	1681	0	8
2023.04.27	10:00:00	2002.04	2002.58	2000.56	2001.48	2115	0	7
2023.04.27	10:15:00	2001.41	2003.23	2000.74	2001.47	1953	0	6
2023.04.27	10:30:00	2001.48	2002.01	2000.03	2000.47	1739	0	6
2023.04.27	10:45:00	2000.43	2000.97	1998.34	1999.41	1616	0	7
2023.04.27	11:00:00	1999.41	1999.75	1997.91	1999.27	1643	0	4
2023.04.27	11:15:00	1999.29	1999.95	1997.65	1998.08	1495	0	5
2023.04.27	11:30:00	1998.07	1999.79	1997.93	1999.19	1239	0	4
2023.04.27	11:45:00	1999.19	1999.21	1997.81	1998.20	1326	0	6
2023.04.27	12:00:00	1998.20	2000.00	1997.43	1999.17	1284	0	7
2023.04.27	12:15:00	1999.14	1999.30	1997.14	1997.37	1218	0	5
2023.04.27	12:30:00	1997.37	1998.70	1996.90	1997.99	1413	0	5
2023.04.27	12:45:00	1998.07	1998.71	1997.00	1997.02	1186	0	5
2023.04.27	13:00:00	1997.02	1998.87	1995.92	1998.66	1251	0	4
2023.04.27	13:15:00	1998.74	2001.10	1998.73	2000.45	1578	0	5
2023.04.27	13:30:00	2000.45	2001.08	2000.12	2000.61	1276	0	7
2023.04.27	13:45:00	2000.60	2001.16	2000.36	2000.61	1356	0	7
2023.04.27	14:00:00	2000.65	2001.22	2000.33	2000.52	1508	0	7
2023.04.27	14:15:00	2000.46	2001.11	1998.58	1998.71	1468	0	7
2023.04.27	14:30:00	1998.72	2000.01	1997.57	1997.85	1435	0	7
2023.04.27	14:45:00	1997.85	1998.36	1996.18	1996.92	1524	0	6
2023.04.27	15:00:00	1996.94	1997.81	1996.21	1996.93	2023	0	7
2023.04.27	15:15:00	1996.93	1998.69	1995.99	1997.73	2524	0	7
2023.04.27	15:30:00	1997.78	2003.34	1981.88	1983.87	6561	0	5
2023.04.27	15:45:00	1983.89	1988.40	1981.86	1985.65	4688	0	5
2023.04.27	16:00:00	1985.74	1988.91	1983.25	1983.60	4528	0	6
2023.04.27	16:15:00	1983.60	1984.67	1979.27	1979.49	4759	0	5
2023.04.27	16:30:00	1979.50	1983.01	1974.22	1977.11	5536	0	5
2023.04.27	16:45:00	1977.06	1982.86	1976.58	1981.79	4591	0	5
2023.04.27	17:00:00	1981.90	1986.48	1980.11	1983.97	5089	0	6
2023.04.27	17:15:00	1984.02	1985.95	1979.47	1980.59	4195	0	6
2023.04.27	17:30:00	1980.59	1982.30	1978.77	1980.49	3517	0	7
2023.04.27	17:45:00	1980.53	1984.27	1979.67	1983.41	3312	0	7
2023.04.27	18:00:00	1983.40	1985.30	1982.46	1984.81	3137	0	7
2023.04.27	18:15:00	1984.80	1985.65	1982.46	1985.45	2740	0	7
2023.04.27	18:30:00	1985.37	1985.97	1983.16	1983.33	2423	0	8
2023.04.27	18:45:00	1983.37	1984.14	1981.98	1982.28	2023	0	6
2023.04.27	19:00:00	1982.28	1983.47	1981.14	1982.78	1966	0	6
2023.04.27	19:15:00	1982.78	1984.07	1982.03	1982.83	1642	0	6
2023.04.27	19:30:00	1982.81	1984.13	1982.62	1983.77	1468	0	6
2023.04.27	19:45:00	1983.77	1984.55	1982.58	1984.33	1441	0	6
2023.04.27	20:00:00	1984.33	1988.20	1983.68	1987.83	1870	0	6
2023.04.27	20:15:00	1987.85	1990.64	1987.75	1989.80	2340	0	6
2023.04.27	20:30:00	1989.79	1991.08	1988.94	1988.97	1698	0	8
2023.04.27	20:45:00	1988.90	1989.62	1988.23	1989.12	1549	0	8
2023.04.27	21:00:00	1989.11	1989.30	1987.51	1987.58	1218	0	7
2023.04.27	21:15:00	1987.58	1988.85	1987.02	1988.70	1294	0	8
2023.04.27	21:30:00	1988.72	1989.08	1988.20	1988.71	1219	0	8
2023.04.27	21:45:00	1988.71	1989.77	1987.69	1989.06	1272	0	7
2023.04.27	22:00:00	1989.01	1989.87	1988.47	1989.56	1334	0	8
2023.04.27	22:15:00	1989.53	1989.88	1988.26	1989.30	984	0	8
2023.04.27	22:30:00	1989.31	1989.31	1987.22	1987.22	1118	0	8
2023.04.27	22:45:00	1987.25	1988.67	1986.90	1988.30	1414	0	8
2023.04.27	23:00:00	1988.30	1988.63	1987.75	1988.12	1280	0	8
2023.04.27	23:15:00	1988.11	1988.24	1987.68	1987.88	842	0	14
2023.04.27	23:30:00	1987.88	1988.38	1987.46	1987.78	1105	0	12
2023.04.27	23:45:00	1987.78	1987.90	1987.39	1987.74	455	0	14
2023.04.28	01:00:00	1987.48	1988.04	1987.44	1987.93	256	0	12
